id,rep_count,visibility_score,hour_of_day,day_of_week,month,left_knee_angle,right_knee_angle,knee_angle_mean,left_hip_angle,right_hip_angle,hip_angle_mean,trunk_inclination,left_right_symmetry,label_encoded,phase_encoded
121,17,0.8613,23,5,5,136.82,132.36,126.24,164.48,164.28,164.38,8.63,4.79,1,1
122,17,0.8789,23,5,5,136.82,132.36,126.24,74.46,55.69,65.08,56.54,4.79,1,1
123,17,0.8934,23,5,5,136.82,132.36,126.24,149.01,128.13,138.57,14.24,4.79,1,1
124,17,0.8934,23,5,5,136.82,132.36,126.24,149.01,128.13,138.57,14.24,4.79,1,1
125,22,0.8826,0,6,5,149.23,147.12,148.18,158.98,151.04,155.01,6.6,5.02,1,0
126,23,0.8561,0,6,5,138.97,144.82,141.9,160.9,154.7,157.8,6.75,6.03,1,1
127,23,0.931,0,6,5,136.82,132.36,126.24,70.62,81.85,76.24,8.63,4.79,1,1
128,23,0.8538,0,6,5,65.67,69.22,67.44,70.49,90.21,80.35,8.3,11.64,1,0
129,23,0.8968,0,6,5,136.82,73.21,73.21,67.46,88.44,77.95,7.79,4.79,1,0
130,23,0.8605,0,6,5,69.23,85.44,77.33,69.19,96.41,82.8,7.84,21.72,1,0
131,23,0.9168,0,6,5,136.82,100.31,100.31,102.08,126.3,114.19,6.68,4.79,1,0
132,23,0.8748,0,6,5,136.82,99.01,99.01,115.77,128.87,122.32,6.32,4.79,1,0
133,23,0.8716,0,6,5,136.82,97.66,97.66,106.42,117.41,111.91,8.92,4.79,1,0
134,23,0.8929,0,6,5,136.82,107.18,107.18,77.44,104.47,90.95,7.03,4.79,1,0
135,23,0.8726,0,6,5,136.82,107.45,107.45,87.22,111.58,99.4,6.85,4.79,1,0
136,23,0.8736,0,6,5,95.05,85.86,90.46,59.72,82.04,70.88,14.2,15.76,1,0
137,23,0.8388,0,6,5,137.01,132.36,137.01,134.83,113.7,124.26,41.55,4.79,1,0
138,23,0.9788,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,58.27,4.79,1,0
139,23,0.981,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,43.48,4.79,1,0
140,23,0.8483,0,6,5,89.89,103.74,96.82,87.07,101.82,94.44,6.73,14.3,1,0
141,23,0.8727,0,6,5,136.82,103.74,103.74,94.07,108.45,101.26,7.13,4.79,1,0
142,23,0.8562,0,6,5,96.14,110.6,103.37,78.16,91.77,84.96,6.72,14.03,1,0
143,23,0.8543,0,6,5,136.82,91.95,91.95,92.55,100.61,96.58,6.65,4.79,1,0
144,23,0.8304,0,6,5,136.82,106.6,106.6,84.28,106.01,95.15,7.77,4.79,1,0
145,23,0.9211,0,6,5,136.82,115.61,115.61,88.51,107.82,107.82,6.3,4.79,1,0
146,23,0.9411,0,6,5,136.82,114.01,114.01,88.51,121.58,121.58,5.47,4.79,1,0
147,23,0.8719,0,6,5,124.29,124.65,124.47,96.25,109.43,102.84,10.73,6.77,1,0
148,24,0.8794,0,6,5,136.82,132.85,132.85,90.22,98.98,94.6,14.25,4.79,1,1
149,25,0.8624,0,6,5,136.82,137.62,137.62,89.29,105.2,97.25,8.67,4.79,1,1
150,25,0.9197,0,6,5,136.82,143.68,143.68,88.51,117.05,117.05,13.32,4.79,1,0
151,26,0.899,0,6,5,136.82,153.54,153.54,134.63,131.25,132.94,13.18,4.79,1,1
152,26,0.9088,0,6,5,136.82,156.38,156.38,131.68,123.87,127.77,13.09,4.79,1,1
153,26,0.9027,0,6,5,136.82,150.29,150.29,117.96,118.76,118.36,14.38,4.79,1,1
154,26,0.9125,0,6,5,136.82,165.54,165.54,120.36,114.32,117.34,16.18,4.79,1,1
155,26,0.8736,0,6,5,136.82,142.12,142.12,118.79,127.75,123.27,16.37,4.79,1,1
156,27,0.9059,0,6,5,136.82,132.12,134.47,120.17,143.81,131.99,17.64,14.16,1,1
157,27,0.9796,0,6,5,157.06,143.01,150.03,104.86,141.04,122.95,14.48,25.11,1,1
158,27,0.9517,0,6,5,147.51,140.11,143.81,137.84,146.16,142.0,14.95,7.87,1,1
